epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.37681159377098083,0.0010000000474974513,1.668452501296997,0.11235955357551575,4.926816940307617
1,0.6135265827178955,0.0010000000474974513,1.2295266389846802,0.26966291666030884,2.204087734222412
2,0.6328502297401428,0.0010000000474974513,1.128768801689148,0.3932584226131439,1.7973759174346924
3,0.6570048332214355,0.0010000000474974513,1.0747628211975098,0.6629213690757751,1.38676917552948
4,0.6521739363670349,0.0010000000474974513,0.9985210299491882,0.6516854166984558,1.074225664138794
5,0.6497584581375122,0.0010000000474974513,1.0082844495773315,0.49438202381134033,1.3225384950637817
6,0.6666666865348816,0.0010000000474974513,1.0219130516052246,0.6292135119438171,1.073174238204956
7,0.717391312122345,0.0010000000474974513,0.9193286299705505,0.516853928565979,1.2582757472991943
8,0.7053139805793762,0.0010000000474974513,0.8845906853675842,0.550561785697937,1.1774530410766602
9,0.7149758338928223,0.0010000000474974513,0.8796848654747009,0.5280898809432983,1.1980040073394775
10,0.727053165435791,0.0010000000474974513,0.8305172920227051,0.4157303273677826,1.3041046857833862
11,0.717391312122345,0.0010000000474974513,0.8251370191574097,0.6629213690757751,1.03034245967865
12,0.760869562625885,0.0010000000474974513,0.7491096258163452,0.617977499961853,1.1130540370941162
13,0.7367149591445923,0.0010000000474974513,0.7818118929862976,0.550561785697937,1.083565354347229
14,0.748792290687561,0.0010000000474974513,0.7510278820991516,0.6292135119438171,1.094792127609253
15,0.7584540843963623,0.0010000000474974513,0.6971609592437744,0.3932584226131439,1.2743120193481445
16,0.748792290687561,0.0010000000474974513,0.7354732155799866,0.584269642829895,1.0749460458755493
17,0.7777777910232544,0.0005000000237487257,0.7213485836982727,0.483146071434021,1.2171787023544312
18,0.7874395847320557,0.0005000000237487257,0.6938462853431702,0.40449437499046326,1.5041056871414185
19,0.7922705411911011,0.0005000000237487257,0.6096316576004028,0.2808988690376282,2.0505263805389404
20,0.7995169162750244,0.0005000000237487257,0.6324164271354675,0.483146071434021,1.1721467971801758
21,0.8188405632972717,0.0005000000237487257,0.6220830678939819,0.2921348214149475,1.789339542388916
